ID,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
6000,0.0,0.0,7.0,168.75,0.0,0.00952381,0.0,0.0,11,3,2,1,2,0,0
6001,0.0,0.0,3.0,54.4,0.066666667,0.133333333,0.0,0.0,7,3,2,4,3,0,1
6002,2.0,390.0,32.0,904.5666667000002,0.009009009,0.025405405,0.0,0.0,12,1,2,1,2,0,1
6003,0.0,0.0,7.0,277.1666667,0.028571429,0.05,0.0,0.0,11,3,2,4,13,0,0
6004,0.0,0.0,6.0,102.2,0.0,0.0,40.27815244,0.0,10,2,2,2,20,0,0
6005,0.0,0.0,35.0,584.3083333,0.0,0.008571429,0.0,0.0,12,3,2,3,1,0,0
6006,0.0,0.0,8.0,194.22857140000002,0.075,0.078125,0.0,0.0,11,3,3,1,1,0,1
6007,0.0,0.0,11.0,2351.333333,0.0,0.025,0.0,0.0,5,2,2,9,3,0,1
6008,0.0,0.0,40.0,905.4856061,0.0135,0.03747619,0.0,0.0,3,3,2,2,1,0,0
6009,4.0,121.625,29.0,1406.917424,0.017567568000000002,0.021302211,20.74810067,0.0,11,3,2,6,1,0,0
6010,0.0,0.0,8.0,272.9,0.05,0.075,0.0,0.0,10,1,1,1,1,1,0
6011,0.0,0.0,17.0,438.4333333000001,0.003030303,0.027272727000000004,0.0,0.0,3,1,1,3,3,0,0
6012,0.0,0.0,28.0,717.2190476,0.005882353000000001,0.017058824,0.0,1.0,5,2,2,5,4,0,1
6013,0.0,0.0,16.0,315.1666667,0.0,0.016666667,12.53314286,0.0,3,1,1,6,3,0,0
6014,0.0,0.0,36.0,862.5738095,0.002857143,0.012698413,10.87212857,0.0,5,2,4,6,2,0,0
6015,1.0,8.5,167.0,5080.233631,0.000238095,0.004785635999999999,64.81173101,0.0,11,4,2,1,1,0,1
6016,0.0,0.0,11.0,713.0,0.0,0.016666667,113.98,0.0,5,2,2,1,2,0,0
6017,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,3,2,5,1,1,0,0
6018,0.0,0.0,5.0,62.5,0.022222222000000003,0.04444444400000001,0.0,0.0,3,2,2,2,3,1,1
6019,0.0,0.0,12.0,307.6666667,0.0,0.013333333000000001,0.0,0.0,11,2,2,9,8,1,0
6020,0.0,0.0,17.0,927.1666667000002,0.0,0.014705882,0.0,0.0,3,1,1,2,3,0,0
6021,0.0,0.0,5.0,158.6,0.0,0.013333333000000001,0.0,0.0,7,1,1,4,4,0,0
6022,0.0,0.0,50.0,1483.366667,0.0,0.01047619,19.78135119,0.4,5,2,2,2,4,0,0
6023,0.0,0.0,59.0,1560.601163,0.005172414,0.010673235,0.0,0.0,3,1,1,1,2,0,0
6024,0.0,0.0,27.0,463.83333330000005,0.040740741000000004,0.06753086400000001,0.0,0.0,5,3,2,2,4,0,0
6025,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,0,0
6026,0.0,0.0,60.0,1449.608333,0.004545455,0.011320346,0.0,0.0,12,2,2,4,1,0,0
6027,0.0,0.0,11.0,543.5,0.007692308,0.038461537999999997,0.0,0.0,3,2,2,3,13,0,0
6028,6.0,1043.9285710000001,73.0,3585.1775789999997,0.008175105,0.024451608,0.0,0.0,11,3,2,5,2,0,0
6029,1.0,2.0,33.0,2601.2314079999996,0.005882353000000001,0.011764706000000002,177.77145359999997,0.0,11,2,2,7,20,0,0
6030,0.0,0.0,10.0,242.58333330000002,0.0,0.026666667,0.0,0.0,12,2,2,7,2,1,0
6031,0.0,0.0,5.0,60.4,0.0,0.025,0.0,0.0,10,2,2,9,2,1,0
6032,5.0,608.45,213.0,9151.494242,0.0031111109999999997,0.013391698,2.568483894,0.0,10,2,2,1,2,0,0
6033,0.0,0.0,22.0,851.25,0.004347826,0.020289855,0.0,0.0,11,2,2,1,2,1,0
6034,0.0,0.0,23.0,935.9,0.004347826,0.024637681,0.0,0.0,12,2,2,1,2,1,0
6035,0.0,0.0,36.0,572.9,0.011111111000000002,0.038888888999999996,0.0,0.0,12,2,2,3,2,0,0
6036,1.0,0.0,34.0,1189.0535710000001,0.000840336,0.027777778,0.0,0.0,11,4,1,6,8,0,0
6037,0.0,0.0,20.0,1606.333333,0.01,0.034761905,0.0,0.0,3,2,2,2,1,0,0
6038,0.0,0.0,27.0,1400.5,0.0,0.007142857,0.0,0.0,3,1,1,4,2,0,0
6039,0.0,0.0,4.0,111.6,0.04,0.04,0.0,0.0,7,1,8,9,4,1,0
6040,4.0,72.0,10.0,159.3,0.0125,0.058333333,0.0,0.0,11,1,1,1,10,0,0
6041,0.0,0.0,22.0,1275.092424,0.0,0.013512907,65.74605279,0.0,12,3,2,5,2,0,0
6042,0.0,0.0,54.0,2593.1,0.018181818,0.039393938999999996,0.0,0.0,8,2,2,1,3,0,0
6043,3.0,37.83333333,21.0,868.0166667000001,0.0,0.008,40.72562976,0.0,12,1,1,1,2,1,0
6044,0.0,0.0,20.0,470.86666669999994,0.027272727000000004,0.045454545,0.0,0.0,10,2,2,1,13,0,0
6045,0.0,0.0,3.0,21.0,0.0,0.033333333,0.0,0.0,11,1,1,2,2,1,0
6046,0.0,0.0,18.0,437.1875,0.011111111000000002,0.006878306999999999,0.0,0.0,3,1,1,7,9,0,1
6047,0.0,0.0,139.0,3674.737578,0.002142857,0.011897443999999998,17.50624004,0.0,11,2,2,2,10,0,0
6048,0.0,0.0,22.0,443.83333330000005,0.0,0.002380952,0.0,0.0,11,1,1,2,3,0,0
6049,0.0,0.0,68.0,809.2456348999999,0.002985075,0.005970149,109.9124051,0.0,3,2,5,4,2,0,0
6050,1.0,24.0,27.0,1547.5,0.0037037040000000004,0.014814815,0.0,0.0,3,3,2,1,1,0,0
6051,0.0,0.0,12.0,139.8,0.066666667,0.091666667,0.0,0.0,8,3,2,1,13,0,0
6052,0.0,0.0,15.0,537.2,0.011764706000000002,0.023529412000000003,27.664,0.6,5,2,2,2,6,0,0
6053,5.0,120.0,87.0,1363.263492,0.004301075,0.008090118,30.80927957,0.6,5,2,2,3,2,0,0
6054,0.0,0.0,13.0,1461.416667,0.021978022000000003,0.047163947000000005,0.0,0.0,11,3,2,3,11,0,1
6055,0.0,0.0,4.0,59.0,0.0,0.013333333000000001,0.0,0.0,5,2,2,6,6,1,0
6056,0.0,0.0,17.0,806.6666667000001,0.0,0.027058824,0.0,0.0,3,2,2,2,3,0,0
6057,0.0,0.0,38.0,1264.0,0.0,0.028947367999999998,31.48142512,0.0,12,2,6,9,3,0,0
6058,0.0,0.0,102.0,2436.287879,0.051797385999999994,0.06053921599999999,0.0,0.0,10,3,2,1,13,0,0
6059,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3,2,2,4,3,0,0
6060,1.0,212.5,21.0,1198.75,0.0,0.003174603,0.0,0.0,3,2,4,7,2,0,0
6061,0.0,0.0,36.0,1266.5,0.038888888999999996,0.052777778,0.0,0.4,5,2,2,1,2,0,0
6062,0.0,0.0,84.0,1242.7760460000002,0.0,0.006589146999999999,4.17431402,0.0,11,1,1,2,4,0,1
6063,0.0,0.0,4.0,45.5,0.0,0.05,0.0,0.4,5,2,2,6,11,0,0
6064,2.0,7.0,7.0,294.6,0.0,0.02,0.0,0.0,6,3,2,6,11,1,0
6065,0.0,0.0,10.0,332.5833333,0.0,0.002197802,0.0,0.0,12,8,13,9,20,2,0
6066,0.0,0.0,35.0,668.1,0.007843137,0.019117646999999998,36.95500632,0.0,11,2,4,1,3,0,0
6067,0.0,0.0,37.0,1631.416667,0.0,0.009009009,13.82316952,0.0,12,2,2,1,1,0,0
6068,2.0,28.2,97.0,2865.817778,0.009345794000000001,0.024205607,0.0,0.0,10,2,6,1,1,0,0
6069,0.0,0.0,12.0,1581.5,0.0037037040000000004,0.026851852000000002,63.1498595,0.0,12,2,2,1,8,0,0
6070,0.0,0.0,21.0,442.0,0.008695652,0.020289855,42.28127491,0.0,11,2,2,1,13,0,0
6071,0.0,0.0,9.0,2151.0,0.0,0.018181818,10.91300022,0.0,3,2,5,1,1,0,0
6072,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3,3,2,2,10,0,0
6073,0.0,0.0,4.0,29.0,0.1,0.125,0.0,0.8,5,2,2,2,4,0,0
6074,0.0,0.0,2.0,12.0,0.166666667,0.166666667,0.0,0.0,11,1,1,1,10,0,0
6075,0.0,0.0,15.0,2190.666667,0.0,0.0044444440000000005,0.0,0.0,3,2,2,3,8,0,0
6076,0.0,0.0,48.0,1850.1166670000002,0.004081633,0.004421769,7.56292207,0.0,11,1,1,2,2,0,1
