ID,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3000,0.0,0.0,7.0,578.2,0.0,0.033333333,58.488,0.0,5,2,5,3,6,0,1,1
3001,0.0,0.0,4.0,2528.0,0.0,0.066666667,0.0,0.0,3,2,2,9,1,0,1,0
3002,0.0,0.0,30.0,1038.791667,0.006666666999999999,0.026666667,0.0,0.0,11,3,2,1,2,0,0,0
3003,0.0,0.0,21.0,2008.8333329999998,0.0,0.022857142999999996,0.0,0.6,5,4,1,1,2,0,0,0
3004,0.0,0.0,23.0,226.2564103,0.008695652,0.010434783000000001,0.0,0.6,5,4,2,1,3,0,0,0
3005,0.0,0.0,21.0,883.0,0.0,0.010666667,44.98081787,0.0,11,1,1,2,8,1,1,1
3006,0.0,0.0,95.0,1453.640882,0.002105263,0.012761333,0.0,0.0,12,2,2,3,2,1,0,0
3007,0.0,0.0,17.0,344.3333333,0.005555556,0.030555556,26.985,0.0,5,2,2,1,5,0,0,0
3008,0.0,0.0,16.0,1331.75,0.0,0.0125,33.79956701,0.0,3,2,5,2,3,1,0,1
3009,0.0,0.0,32.0,749.25,0.0,0.00625,0.0,0.0,12,2,2,3,8,1,0,0
3010,4.0,87.6,32.0,810.0816667,0.005128205,0.015099715,17.27062073,0.0,11,1,1,5,2,0,0,1
3011,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,2,1,1,1,3,0,0,0
3012,0.0,0.0,30.0,941.6726189999999,0.018181818,0.04444444400000001,0.0,0.0,11,3,2,2,1,0,0,0
3013,0.0,0.0,28.0,1265.75,0.0,0.028888888999999997,4.1976,0.0,5,2,2,8,1,0,0,0
3014,0.0,0.0,5.0,210.0,0.16,0.173333333,0.0,0.4,5,1,1,1,3,0,0,0
3015,1.0,94.0,98.0,6212.779517,0.024162985,0.033991575,0.0,0.0,11,3,2,4,10,0,1,0
3016,0.0,0.0,6.0,46.0,0.0,0.016666667,0.0,0.0,12,6,2,4,1,0,0,0
3017,0.0,0.0,29.0,1352.133333,0.0,0.025287356,34.60160214,0.0,11,3,2,6,2,0,1,1
