ID,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0.0,18.0,941.9166667000002,0.0,0.001428571,0.0,0.0,11,2,2,1,2,1,0,0
1,0.0,0.0,53.0,1170.733333,0.007272727,0.025454545,31.90320066,0.0,8,2,4,2,3,0,0,1
2,0.0,0.0,17.0,750.1666667000001,0.0,0.005555556,0.0,0.0,3,3,2,4,2,0,0,0
3,0.0,0.0,9.0,237.33333330000002,0.0,0.031666667,0.0,0.0,5,1,1,1,3,0,0,0
4,1.0,20.0,36.0,1279.166667,0.0,0.010810811000000002,0.0,0.0,3,2,2,1,6,0,0,0
5,0.0,0.0,7.0,129.25,0.0,0.033333333,0.0,0.0,12,1,1,4,2,1,1,0
6,1.0,39.0,46.0,1388.866667,0.004166667,0.029444444,24.40764444,0.0,5,2,4,2,2,0,0,0
7,0.0,0.0,22.0,469.54,0.0,0.008695652,14.00979215,0.0,10,2,2,9,2,1,0,1
8,0.0,0.0,7.0,88.0,0.085714286,0.14285714300000002,0.0,0.0,11,2,4,3,1,0,0,0
9,0.0,0.0,22.0,353.15277779999997,0.0,0.009090909,0.0,0.0,11,1,2,1,2,1,0,0
10,0.0,0.0,20.0,819.2715686,0.007972028,0.043864469,0.0,0.0,5,2,2,1,2,0,1,0
11,0.0,0.0,17.0,465.66666669999995,0.0,0.005098039,0.0,0.0,5,3,2,1,2,0,0,0
12,0.0,0.0,3.0,178.5,0.0,0.066666667,8.04958574,0.0,9,2,6,2,1,0,0,0
13,0.0,0.0,29.0,765.3928571,0.0,0.0008928569999999999,0.0,0.0,11,2,2,8,3,1,0,0
14,0.0,0.0,9.0,381.0,0.0,0.025,0.0,0.0,3,2,2,6,2,1,0,0
15,0.0,0.0,5.0,337.25,0.0,0.02,0.0,0.0,3,2,2,2,10,0,0,0
16,0.0,0.0,4.0,14.0,0.1,0.15,0.0,0.0,3,3,2,1,1,0,0,0
17,0.0,0.0,3.0,165.0,0.0,0.033333333,0.0,0.0,5,2,6,4,1,0,0,0
18,0.0,0.0,19.0,1391.383333,0.0,0.02,18.84993357,0.0,10,3,2,1,2,1,0,1
19,0.0,0.0,12.0,1653.6,0.016666667,0.027777778,0.0,0.0,7,3,2,4,3,0,0,0
20,0.0,0.0,24.0,368.6,0.0,0.008888889,0.0,0.0,9,2,2,1,2,1,0,0
21,0.0,0.0,13.0,231.5,0.015384615,0.023076923,0.0,0.0,5,2,4,3,1,0,0,0
22,0.0,0.0,4.0,18.2,0.15,0.15,0.0,0.0,9,3,2,1,13,0,0,0
23,1.0,0.0,114.0,3161.074762,0.017699115,0.042576205,0.0,0.0,8,2,2,2,1,0,0,0
24,0.0,0.0,29.0,919.8995238,0.0,0.017091837,7.36509031,0.0,8,2,5,4,2,0,0,1
25,0.0,0.0,3.0,97.5,0.0,0.038461537999999997,0.0,0.0,12,3,2,4,8,0,0,1
26,0.0,0.0,3.0,18.0,0.033333333,0.166666667,0.0,1.0,5,3,2,1,4,0,1,0
27,0.0,0.0,5.0,331.3333333,0.053333333,0.096,0.0,0.0,5,2,10,3,4,0,0,0
28,0.0,0.0,70.0,2678.055238,0.0,0.005868545,0.0,0.0,7,2,2,1,2,0,1,0
29,0.0,0.0,83.0,2585.61835,0.0,0.00761877,6.871308983,0.0,3,2,2,2,2,0,0,1
30,0.0,0.0,23.0,406.0,0.030434782999999997,0.05942029,0.0,0.2,5,2,2,1,13,0,0,0
31,2.0,135.0,27.0,517.3928571,0.0,0.011458333000000001,30.269375,0.0,5,2,2,4,2,1,1,1
32,0.0,0.0,79.0,3129.393438,0.018258179,0.044962458,0.0,0.0,5,3,2,3,3,0,0,0
33,0.0,0.0,10.0,399.0,0.015384615,0.046153846,0.0,0.0,11,1,1,1,8,0,0,0
34,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,11,1,1,3,3,0,0,0
35,0.0,0.0,5.0,1439.5,0.0,0.08,0.0,0.0,5,2,2,4,2,0,0,0
36,0.0,0.0,30.0,860.3166667000002,0.0,0.008888889,0.0,0.0,5,1,1,1,7,0,0,0
37,0.0,0.0,2.0,12.0,0.0,0.1,0.0,0.0,3,1,1,5,3,0,0,0
38,1.0,284.0,78.0,2448.5360539999997,0.011898734,0.02841508,0.0,0.0,12,2,2,3,10,0,0,0
39,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,8,1,1,3,4,0,0,0
40,0.0,0.0,32.0,827.6462121000001,0.0,0.00058651,54.67634844,0.0,3,2,2,7,2,0,0,1
41,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,8,1,1,3,1,0,0,0
42,0.0,0.0,62.0,2021.747727,0.003076923,0.015641026000000002,0.0,0.0,10,2,2,1,4,0,0,0
43,0.0,0.0,51.0,1873.2166670000001,0.0,0.00754717,0.0,0.6,2,2,2,9,3,0,0,0
44,3.0,29.0,41.0,1652.75,0.013636364,0.035119048,0.0,0.0,5,2,2,4,4,0,1,0
45,0.0,0.0,4.0,110.0,0.0,0.05,0.0,0.0,5,2,4,3,1,0,0,0
46,5.0,89.1,230.0,9050.459481999998,0.0067226890000000004,0.01755845,2.664994971,0.0,6,2,2,6,1,0,0,0
47,0.0,0.0,31.0,590.5166667000001,0.005208333,0.009657738,0.0,0.0,5,1,1,1,4,0,1,0
48,2.0,99.5,15.0,771.875,0.01,0.026666667,15.39534668,0.0,12,2,2,3,2,0,0,0
49,0.0,0.0,30.0,1906.4761899999999,0.011494253000000001,0.024931582,0.0,0.0,5,2,4,3,2,0,0,0
50,2.0,55.5,23.0,1100.125,0.0,0.011111111000000002,0.0,0.4,5,3,2,4,14,0,0,0
51,0.0,0.0,13.0,210.5,0.030769231,0.046153846,0.0,0.0,12,2,2,1,1,0,0,0
52,2.0,62.33333333,34.0,1122.272727,0.047222222,0.071018519,0.0,0.8,5,2,2,4,6,0,0,0
